@relation Paper

@attribute user^4 {U3,U2,U1}
@attribute user^3 {U3,U2,U1}
@attribute product^1 {boxes,equipment,bottles}
@attribute product^2 {boxes,equipment,bottles}
@attribute product^0 {boxes,equipment,bottles}
@attribute product^3 {boxes,equipment,bottles}
@attribute product^4 {boxes,equipment,bottles}
@attribute customer^0 {A,B,C}
@attribute customer^1 {A,B,C}
@attribute customer^2 {A,B,C}
@attribute customer^3 {A,B,C}
@attribute customer^4 {A,B,C}
@attribute user^0 {U3,U2,U1}
@attribute user^1 {U3,U2,U1}
@attribute user^2 {U3,U2,U1}
@attribute amount^0 numeric
@attribute amount^1 numeric
@attribute amount^2 numeric
@attribute amount^3 numeric
@attribute amount^4 numeric
@attribute Sync {NEGLIGIBLE,OK,HIGH,LOW,'?'}

@data
?,U1,equipment,equipment,equipment,equipment,?,B,B,B,B,?,U1,U1,U1,116,116,116,116,?,LOW
?,U1,equipment,equipment,equipment,equipment,?,A,A,A,A,?,U1,U1,U1,257,257,257,257,?,LOW
?,U1,equipment,equipment,equipment,equipment,?,C,C,C,C,?,U1,U1,U1,279,279,279,279,?,LOW
?,U2,equipment,equipment,equipment,equipment,?,A,A,A,A,?,U2,U2,U2,137,137,137,137,?,LOW
?,U3,bottles,bottles,bottles,bottles,?,C,C,C,C,?,U3,U3,U3,417,417,417,417,?,LOW
U1,U1,boxes,boxes,boxes,boxes,boxes,B,B,B,B,B,U1,U1,U1,950,950,950,950,950,OK
U1,U1,bottles,bottles,bottles,bottles,bottles,A,A,A,A,A,U1,U1,U1,8,8,8,8,8,OK
?,U1,boxes,boxes,boxes,boxes,?,C,C,C,C,?,U1,U1,U1,556,556,556,556,?,OK
U2,U2,boxes,boxes,boxes,boxes,boxes,B,B,B,B,B,U2,U2,U2,736,736,736,736,736,LOW
U2,U2,bottles,bottles,bottles,bottles,bottles,C,C,C,C,C,U2,U2,U2,128,128,128,128,128,LOW
?,U2,equipment,equipment,equipment,equipment,?,A,A,A,A,?,U2,U2,U2,989,989,989,989,?,LOW
U2,U2,bottles,bottles,bottles,bottles,bottles,A,A,A,A,A,U2,U2,U2,151,151,151,151,151,LOW
U2,U2,equipment,equipment,equipment,equipment,equipment,B,B,B,B,B,U2,U2,U2,846,846,846,846,846,HIGH
U1,U1,bottles,bottles,bottles,bottles,bottles,A,A,A,A,A,U1,U1,U1,325,325,325,325,325,LOW
?,U2,boxes,boxes,boxes,boxes,?,C,C,C,C,?,U2,U2,U2,8,8,8,8,?,LOW
?,U3,boxes,boxes,boxes,boxes,?,A,A,A,A,?,U3,U3,U3,30,30,30,30,?,LOW
?,U3,boxes,boxes,boxes,boxes,?,A,A,A,A,?,U3,U3,U3,416,416,416,416,?,LOW
?,U3,bottles,bottles,bottles,bottles,?,C,C,C,C,?,U3,U3,U3,78,78,78,78,?,LOW
U1,U1,equipment,equipment,equipment,equipment,equipment,B,B,B,B,B,U1,U1,U1,611,611,611,611,611,OK
U3,U3,equipment,equipment,equipment,equipment,equipment,B,B,B,B,B,U3,U3,U3,740,740,740,740,740,HIGH
?,U3,bottles,bottles,bottles,bottles,?,C,C,C,C,?,U3,U3,U3,811,811,811,811,?,LOW
U2,U2,equipment,equipment,equipment,equipment,equipment,A,A,A,A,A,U2,U2,U2,82,82,82,82,82,LOW
U3,U3,equipment,equipment,equipment,equipment,equipment,C,C,C,C,C,U3,U3,U3,228,228,228,228,228,OK
?,U2,bottles,bottles,bottles,bottles,?,A,A,A,A,?,U2,U2,U2,123,123,123,123,?,LOW
U1,U1,boxes,boxes,boxes,boxes,boxes,B,B,B,B,B,U1,U1,U1,942,942,942,942,942,LOW
?,U1,bottles,bottles,bottles,bottles,?,C,C,C,C,?,U1,U1,U1,290,290,290,290,?,LOW
U1,U1,boxes,boxes,boxes,boxes,boxes,B,B,B,B,B,U1,U1,U1,287,287,287,287,287,OK
U1,U1,equipment,equipment,equipment,equipment,equipment,A,A,A,A,A,U1,U1,U1,285,285,285,285,285,OK
?,U3,equipment,equipment,equipment,equipment,?,A,A,A,A,?,U3,U3,U3,762,762,762,762,?,LOW
U2,U2,equipment,equipment,equipment,equipment,equipment,B,B,B,B,B,U2,U2,U2,775,775,775,775,775,OK
U3,U3,equipment,equipment,equipment,equipment,equipment,A,A,A,A,A,U3,U3,U3,812,812,812,812,812,OK
?,U1,equipment,equipment,equipment,equipment,?,B,B,B,B,?,U1,U1,U1,447,447,447,447,?,LOW
?,U1,equipment,equipment,equipment,equipment,?,C,C,C,C,?,U1,U1,U1,706,706,706,706,?,LOW
U3,U3,boxes,boxes,boxes,boxes,boxes,C,C,C,C,C,U3,U3,U3,116,116,116,116,116,LOW
?,U3,equipment,equipment,equipment,equipment,?,C,C,C,C,?,U3,U3,U3,365,365,365,365,?,LOW
U1,U1,equipment,equipment,equipment,equipment,equipment,A,A,A,A,A,U1,U1,U1,970,970,970,970,970,HIGH
U3,U3,equipment,equipment,equipment,equipment,equipment,A,A,A,A,A,U3,U3,U3,470,470,470,470,470,OK
U3,U3,bottles,bottles,bottles,bottles,bottles,B,B,B,B,B,U3,U3,U3,268,268,268,268,268,OK
U3,U3,boxes,boxes,boxes,boxes,boxes,B,B,B,B,B,U3,U3,U3,282,282,282,282,282,OK
?,U1,boxes,boxes,boxes,boxes,?,A,A,A,A,?,U1,U1,U1,427,427,427,427,?,LOW
U3,U3,boxes,boxes,boxes,boxes,boxes,C,C,C,C,C,U3,U3,U3,198,198,198,198,198,LOW
?,U2,boxes,boxes,boxes,boxes,?,C,C,C,C,?,U2,U2,U2,159,159,159,159,?,LOW
?,U1,equipment,equipment,equipment,equipment,?,C,C,C,C,?,U1,U1,U1,732,732,732,732,?,OK
U3,U3,equipment,equipment,equipment,equipment,equipment,C,C,C,C,C,U3,U3,U3,139,139,139,139,139,OK
?,U1,boxes,boxes,boxes,boxes,?,A,A,A,A,?,U1,U1,U1,917,917,917,917,?,LOW
U2,U2,bottles,bottles,bottles,bottles,bottles,B,B,B,B,B,U2,U2,U2,628,628,628,628,628,OK
?,U2,equipment,equipment,equipment,equipment,?,C,C,C,C,?,U2,U2,U2,562,562,562,562,?,LOW
U1,U1,boxes,boxes,boxes,boxes,boxes,B,B,B,B,B,U1,U1,U1,113,113,113,113,113,OK
U1,U1,bottles,bottles,bottles,bottles,bottles,B,B,B,B,B,U1,U1,U1,223,223,223,223,223,OK
?,U1,boxes,boxes,boxes,boxes,?,B,B,B,B,?,U1,U1,U1,659,659,659,659,?,LOW
U3,U3,bottles,bottles,bottles,bottles,bottles,A,A,A,A,A,U3,U3,U3,840,840,840,840,840,HIGH
?,U1,equipment,equipment,equipment,equipment,?,A,A,A,A,?,U1,U1,U1,531,531,531,531,?,LOW
?,U3,equipment,equipment,equipment,equipment,?,B,B,B,B,?,U3,U3,U3,37,37,37,37,?,LOW
U3,U3,bottles,bottles,bottles,bottles,bottles,C,C,C,C,C,U3,U3,U3,500,500,500,500,500,OK
?,U2,boxes,boxes,boxes,boxes,?,A,A,A,A,?,U2,U2,U2,190,190,190,190,?,LOW
U1,U1,boxes,boxes,boxes,boxes,boxes,A,A,A,A,A,U1,U1,U1,906,906,906,906,906,OK
U3,U3,equipment,equipment,equipment,equipment,equipment,C,C,C,C,C,U3,U3,U3,143,143,143,143,143,OK
?,U2,bottles,bottles,bottles,bottles,?,A,A,A,A,?,U2,U2,U2,282,282,282,282,?,LOW
U1,U1,boxes,boxes,boxes,boxes,boxes,B,B,B,B,B,U1,U1,U1,577,577,577,577,577,OK
?,U1,equipment,equipment,equipment,equipment,?,B,B,B,B,?,U1,U1,U1,491,491,491,491,?,LOW
