@relation Paper

@attribute user^4 {U3,U2,U1}
@attribute user^3 {U3,U2,U1}
@attribute product^1 {boxes,equipment,bottles}
@attribute product^2 {boxes,equipment,bottles}
@attribute product^0 {boxes,equipment,bottles}
@attribute product^3 {boxes,equipment,bottles}
@attribute product^4 {boxes,equipment,bottles}
@attribute customer^0 {A,B,C}
@attribute customer^1 {A,B,C}
@attribute customer^2 {A,B,C}
@attribute customer^3 {A,B,C}
@attribute customer^4 {A,B,C}
@attribute user^0 {U3,U2,U1}
@attribute user^1 {U3,U2,U1}
@attribute user^2 {U3,U2,U1}
@attribute amount^0 numeric
@attribute amount^1 numeric
@attribute amount^2 numeric
@attribute amount^3 numeric
@attribute amount^4 numeric
@attribute Sync {HIGH,LOW,OK,'?'}

@data
?,U2,bottles,bottles,bottles,bottles,?,B,B,B,B,?,U2,U2,U2,706,706,706,706,?,LOW
?,U1,boxes,boxes,boxes,boxes,?,C,C,C,C,?,U1,U1,U1,603,603,603,603,?,HIGH
?,U2,bottles,bottles,bottles,bottles,?,B,B,B,B,?,U2,U2,U2,580,580,580,580,?,LOW
U3,U3,equipment,equipment,equipment,equipment,equipment,C,C,C,C,C,U3,U3,U3,824,824,824,824,824,HIGH
U2,U2,equipment,equipment,equipment,equipment,equipment,B,B,B,B,B,U2,U2,U2,267,267,267,267,267,LOW
U1,U1,equipment,equipment,equipment,equipment,equipment,C,C,C,C,C,U1,U1,U1,115,115,115,115,115,LOW
?,U1,boxes,boxes,boxes,boxes,?,A,A,A,A,?,U1,U1,U1,135,135,135,135,?,LOW
?,U1,boxes,boxes,boxes,boxes,?,C,C,C,C,?,U1,U1,U1,597,597,597,597,?,LOW
?,U1,boxes,boxes,boxes,boxes,?,A,A,A,A,?,U1,U1,U1,277,277,277,277,?,LOW
?,U2,boxes,boxes,boxes,boxes,?,B,B,B,B,?,U2,U2,U2,41,41,41,41,?,LOW
?,U1,boxes,boxes,boxes,boxes,?,B,B,B,B,?,U1,U1,U1,120,120,120,120,?,LOW
?,U1,bottles,bottles,bottles,bottles,?,B,B,B,B,?,U1,U1,U1,327,327,327,327,?,LOW
U2,U2,equipment,equipment,equipment,equipment,equipment,B,B,B,B,B,U2,U2,U2,546,546,546,546,546,HIGH
?,U1,boxes,boxes,boxes,boxes,?,B,B,B,B,?,U1,U1,U1,472,472,472,472,?,LOW
?,U1,bottles,bottles,bottles,bottles,?,A,A,A,A,?,U1,U1,U1,203,203,203,203,?,LOW
?,U3,bottles,bottles,bottles,bottles,?,B,B,B,B,?,U3,U3,U3,911,911,911,911,?,LOW
?,U2,bottles,bottles,bottles,bottles,?,A,A,A,A,?,U2,U2,U2,561,561,561,561,?,LOW
?,U2,boxes,boxes,boxes,boxes,?,C,C,C,C,?,U2,U2,U2,199,199,199,199,?,LOW
U2,U2,equipment,equipment,equipment,equipment,equipment,C,C,C,C,C,U2,U2,U2,96,96,96,96,96,LOW
?,U2,boxes,boxes,boxes,boxes,?,C,C,C,C,?,U2,U2,U2,870,870,870,870,?,HIGH
