@relation Paper

@attribute warehouseman^4 {Alex}
@attribute warehouseman^3 {Alex}
@attribute warehouseman^0 {Alex}
@attribute warehouseman^2 {Alex}
@attribute clientType^0 {new,consolidate}
@attribute warehouseman^1 {Alex}
@attribute clientType^1 {new,consolidate}
@attribute clientType^2 {new,consolidate}
@attribute clientType^3 {new,consolidate}
@attribute clientType^4 {new,consolidate}
@attribute orderResult^0 {negative,positive}
@attribute orderResult^2 {negative,positive}
@attribute orderResult^1 {negative,positive}
@attribute financialOfficier^3 {Robert,Mario,Alexander}
@attribute customer^0 {A,B,C}
@attribute customer^1 {A,B,C}
@attribute financialOfficier^2 {Robert,Mario,Alexander}
@attribute financialOfficier^1 {Robert,Mario,Alexander}
@attribute customer^2 {A,B,C}
@attribute customer^3 {A,B,C}
@attribute financialOfficier^0 {Robert,Mario,Alexander}
@attribute customer^4 {A,B,C}
@attribute user^0 {U3,U2,U1}
@attribute user^1 {U3,U2,U1}
@attribute financialOfficier^4 {Robert,Mario,Alexander}
@attribute user^2 {U3,U2,U1}
@attribute user^4 {U3,U2,U1}
@attribute user^3 {U3,U2,U1}
@attribute orderResult^3 {negative,positive}
@attribute orderResult^4 {negative,positive}
@attribute product^1 {boxes,equipment,bottles}
@attribute product^2 {boxes,equipment,bottles}
@attribute product^0 {boxes,equipment,bottles}
@attribute product^3 {boxes,equipment,bottles}
@attribute product^4 {boxes,equipment,bottles}
@attribute salesmanager^2 {Johann,Mary,Marc}
@attribute salesmanager^1 {Johann,Mary,Marc}
@attribute salesmanager^4 {Johann,Mary,Marc}
@attribute salesmanager^3 {Johann,Mary,Marc}
@attribute salesmanager^0 {Johann,Mary,Marc}
@attribute amount^0 numeric
@attribute amount^1 numeric
@attribute amount^2 numeric
@attribute amount^3 numeric
@attribute amount^4 numeric
@attribute conformance {TRUE,FALSE,'?'}

@data
?,Alex,Alex,Alex,new,Alex,new,new,new,?,negative,negative,negative,Robert,B,B,Robert,Robert,B,B,Robert,?,U3,U3,?,U3,?,U3,negative,?,boxes,boxes,boxes,boxes,?,Marc,Marc,?,Marc,Marc,507,507,507,507,?,TRUE
Alex,Alex,Alex,Alex,consolidate,Alex,consolidate,consolidate,consolidate,consolidate,positive,positive,positive,Robert,B,B,Robert,Robert,B,B,Robert,B,U2,U2,Robert,U2,U2,U2,positive,positive,boxes,boxes,boxes,boxes,boxes,Marc,Marc,Marc,Marc,Marc,92,92,92,92,92,TRUE
?,Alex,Alex,Alex,new,Alex,new,new,new,?,negative,negative,negative,Alexander,A,A,Alexander,Alexander,A,A,Alexander,?,U3,U3,?,U3,?,U3,negative,?,boxes,boxes,boxes,boxes,?,Mary,Mary,?,Mary,Mary,978,978,978,978,?,TRUE
?,Alex,Alex,Alex,new,Alex,new,new,new,?,negative,negative,negative,Mario,C,C,Mario,Mario,C,C,Mario,?,U2,U2,?,U2,?,U2,negative,?,equipment,equipment,equipment,equipment,?,Mary,Mary,?,Mary,Mary,331,331,331,331,?,TRUE
Alex,Alex,Alex,Alex,new,Alex,new,new,new,new,negative,negative,negative,Alexander,B,B,Alexander,Alexander,B,B,Alexander,B,U1,U1,Alexander,U1,U1,U1,negative,negative,boxes,boxes,boxes,boxes,boxes,Johann,Johann,Johann,Johann,Johann,981,981,981,981,981,TRUE
?,Alex,Alex,Alex,new,Alex,new,new,new,?,negative,negative,negative,Mario,C,C,Mario,Mario,C,C,Mario,?,U1,U1,?,U1,?,U1,negative,?,bottles,bottles,bottles,bottles,?,Johann,Johann,?,Johann,Johann,220,220,220,220,?,TRUE
?,Alex,Alex,Alex,new,Alex,new,new,new,?,positive,positive,positive,Robert,A,A,Robert,Robert,A,A,Robert,?,U2,U2,?,U2,?,U2,positive,?,bottles,bottles,bottles,bottles,?,Johann,Johann,?,Johann,Johann,490,490,490,490,?,TRUE
?,?,Alex,Alex,consolidate,Alex,consolidate,consolidate,?,?,positive,positive,positive,?,C,C,Mario,Mario,C,?,Mario,?,U1,U1,?,U1,?,?,?,?,equipment,equipment,equipment,?,?,Mary,Mary,?,?,Mary,247,247,247,?,?,FALSE
?,?,Alex,Alex,consolidate,Alex,consolidate,consolidate,?,?,negative,negative,negative,?,C,C,Mario,Mario,C,?,Mario,?,U3,U3,?,U3,?,?,?,?,bottles,bottles,bottles,?,?,Mary,Mary,?,?,Mary,968,968,968,?,?,FALSE
?,?,Alex,Alex,consolidate,Alex,consolidate,consolidate,?,?,positive,positive,positive,?,B,B,Robert,Robert,B,?,Robert,?,U3,U3,?,U3,?,?,?,?,equipment,equipment,equipment,?,?,Mary,Mary,?,?,Mary,357,357,357,?,?,FALSE
